

93   2014-11-08 23:48:49,339 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
194  2014-11-08 23:48:49,440 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
195  2014-11-08 23:48:49,441 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
195  2014-11-08 23:48:49,441 [main] DEBUG GetHTML  - Completed:getHTML response length=90
195  2014-11-08 23:48:49,441 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
195  2014-11-08 23:48:49,441 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_23:48:49.txt
195  2014-11-08 23:48:49,441 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
195  2014-11-08 23:48:49,441 [main] DEBUG GetHTML  - Begin out->DB 
4911 2014-11-08 23:48:54,157 [main] INFO  p6spy  - 1415508534157|11|statement|connection 0|INSERT INTO HistoricalStockPrice  (MarketDate, OpenPrice, HighPrice, Low, Close, Volume, AdjClose, Symbol)  VALUES  (  '2014-10-31','46.16','46.52','45.67','46.05','18434300','46.05','INTC'  ) |INSERT INTO HistoricalStockPrice  (MarketDate, OpenPrice, HighPrice, Low, Close, Volume, AdjClose, Symbol)  VALUES  (  '2014-10-31','46.16','46.52','45.67','46.05','18434300','46.05','INTC'  ) 
4912 2014-11-08 23:48:54,158 [main] DEBUG GetHTML  - End  out->DB 
4912 2014-11-08 23:48:54,158 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
4912 2014-11-08 23:48:54,158 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -O=/home/paul/workspace/dev/GetHTML/output/test.txt
4912 2014-11-08 23:48:54,158 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -O=/home/paul/workspace/dev/GetHTML/output/test.txt
4912 2014-11-08 23:48:54,158 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -D=MMddyyyy_HH:mm:ss
4912 2014-11-08 23:48:54,158 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -D=MMddyyyy_HH:mm:ss
4912 2014-11-08 23:48:54,158 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://madmoney.thestreet.com/screener/index.cfm
5058 2014-11-08 23:48:54,304 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://madmoney.thestreet.com/screener/index.cfm iReturn=1(1 is successful)
5058 2014-11-08 23:48:54,304 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
5058 2014-11-08 23:48:54,304 [main] DEBUG GetHTML  - Completed:getHTML response length=25835
5058 2014-11-08 23:48:54,304 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
5058 2014-11-08 23:48:54,304 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_23:48:49.txt
5059 2014-11-08 23:48:54,305 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
5059 2014-11-08 23:48:54,305 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://madmoney.thestreet.com/screener/index.cfm
